Gene ID	source_id	Product Description
TGME49_202350	TGME49_202350-t26_1	50S ribosomal protein L21, putative
TGME49_202360	TGME49_202360-t26_1	methylase, putative
TGME49_202370	TGME49_202370-t26_1	T-complex protein 1, epsilon subunit (TCP-1-epsilon), putative
TGME49_202375	TGME49_202375-t26_1	hypothetical protein
TGME49_202380	TGME49_202380-t26_1	rab GDI alpha, putative
TGME49_202390	TGME49_202390-t26_1	S15 sporozoite-expressed protein
TGME49_202400	TGME49_202400-t26_1	calcium binding egf domain-containing protein
TGME49_202410	TGME49_202410-t26_1	hypothetical protein
TGME49_202420	TGME49_202420-t26_1	hypothetical protein
TGME49_202430	TGME49_202430-t26_1	hypothetical protein
TGME49_202440	TGME49_202440-t26_1	hypothetical protein
TGME49_202445	TGME49_202445-t26_1	hypothetical protein
TGME49_202450	TGME49_202450-t26_1	hypothetical protein
TGME49_202460	TGME49_202460-t26_1	diacylglycerol kinase accessory domain (presumed) domain-containing protein
TGME49_202470	TGME49_202470-t26_1	rRNA metabolism protein, SBDS family protein
TGME49_202480	TGME49_202480-t26_1	hypothetical protein
TGME49_202490	TGME49_202490-t26_1	AP2 domain transcription factor AP2VIIa-7
TGME49_202500	TGME49_202500-t26_1	GAPM1a
TGME49_202510	TGME49_202510-t26_1	multi-pass transmembrane protein
TGME49_202520	TGME49_202520-t26_1	hypothetical protein
TGME49_202530	TGME49_202530-t26_1	aspartate-tRNA ligase
TGME49_202540	TGME49_202540-t26_1	3'5'-cyclic nucleotide phosphodiesterase PDE1
TGME49_202550	TGME49_202550-t26_1	basal complex component BCC6
TGME49_202568	TGME49_202568-t26_1	hypothetical protein
TGME49_202572	TGME49_202572-t26_1	ribophorin i protein
TGME49_202580	TGME49_202580-t26_1	chaperone protein ClpB5, putative
TGME49_202590	TGME49_202590-t26_1	hypothetical protein
TGME49_202600	TGME49_202600-t26_1	hypothetical protein
TGME49_202610	TGME49_202610-t26_1	protein phosphatase 2C domain-containing protein PPM3D
TGME49_202620	TGME49_202620-t26_1	dense granule protein GRA64
TGME49_202630	TGME49_202630-t26_1	ATP-dependent metallopeptidase HflB subfamily protein
TGME49_202640	TGME49_202640-t26_1	tRNA pseudouridine synthase 1
TGME49_202650	TGME49_202650-t26_1	hypothetical protein
TGME49_202660	TGME49_202660-t26_1	tRNA-Gly
TGME49_202670	TGME49_202670-t26_1	tRNA-Gly
TGME49_202680	TGME49_202680-t26_1	cytochrome b-c1 complex subunit 2
TGME49_202690	TGME49_202690-t26_1	DNA-directed RNA polymerase II RPB9
TGME49_202700	TGME49_202700-t26_1	hypothetical protein
TGME49_202720	TGME49_202720-t26_1	RNB family domain-containing protein
TGME49_202730	TGME49_202730-t26_1	hypothetical protein
TGME49_202735	TGME49_202735-t26_1	hypothetical protein
TGME49_202740	TGME49_202740-t26_1	hypothetical protein
TGME49_202750	TGME49_202750-t26_1	3' exoribonuclease family, domain 1 domain-containing protein
TGME49_202760	TGME49_202760-t26_1	hypothetical protein
TGME49_202770	TGME49_202770-t26_1	RNA recognition motif-containing protein
TGME49_202780	TGME49_202780-t26_1	rhoptry kinase family protein ROP25
TGME49_202790	TGME49_202790-t26_1	dihydrouridine synthase (dus) protein
TGME49_202800	TGME49_202800-t26_1	cytochrome c oxidase assembly protein COX11 protein, putative
TGME49_202810	TGME49_202810-t26_1	TIM14
TGME49_202820	TGME49_202820-t26_1	ubiquitin-conjugating enzyme subfamily protein
TGME49_202830	TGME49_202830-t26_1	Elicitor-responsive protein, putative
TGME49_202840	TGME49_202840-t26_1	FHA domain-containing protein
TGME49_202850	TGME49_202850-t26_1	ATP-binding domain-containing protein
TGME49_202860	TGME49_202860-t26_1	hypothetical protein
TGME49_202870	TGME49_202870-t26_1	SAP domain-containing protein
TGME49_202880	TGME49_202880-t26_1	carrier superfamily protein
TGME49_202890	TGME49_202890-t26_1	hypothetical protein
TGME49_202895	TGME49_202895-t26_1	tRNA-Met
TGME49_202900	TGME49_202900-t26_1	zinc finger (CCCH type) motif-containing protein
TGME49_202910	TGME49_202910-t26_1	zinc carboxypeptidase superfamily protein
TGME49_202920	TGME49_202920-t26_1	p-aminobenzoic acid synthase
TGME49_202930	TGME49_202930-t26_1	IMC sutures component ISC5
TGME49_202940	TGME49_202940-t26_1	hypothetical protein
TGME49_202950	TGME49_202950-t26_1	hypothetical protein
TGME49_202960	TGME49_202960-t26_1	glycine cleavage H-protein
TGME49_202970	TGME49_202970-t26_1	hypothetical protein
TGME49_202975	TGME49_202975-t26_1	hypothetical protein
TGME49_202980	TGME49_202980-t26_1	hypothetical protein
TGME49_202990	TGME49_202990-t26_1	hypothetical protein
TGME49_203000	TGME49_203000-t26_1	hypothetical protein
TGME49_203010	TGME49_203010-t26_1	aurora kinase
TGME49_203020	TGME49_203020-t26_1	ribosome biogenesis GTPase Der protein
TGME49_203030	TGME49_203030-t26_1	N-methyl-D-aspartate receptor-associated protein
TGME49_203040	TGME49_203040-t26_1	hypothetical protein
TGME49_203050	TGME49_203050-t26_1	AP2 domain transcription factor AP2VIIa-6
TGME49_203060	TGME49_203060-t26_1	hypothetical protein
TGME49_203070	TGME49_203070-t26_1	hypothetical protein
TGME49_203080	TGME49_203080-t26_1	RNA recognition motif-containing protein
TGME49_203090	TGME49_203090-t26_1	hypothetical protein
TGME49_203100	TGME49_203100-t26_1	hypothetical protein
TGME49_203110	TGME49_203110-t26_1	citrate synthase, putative
TGME49_203120	TGME49_203120-t26_1	hypothetical protein
TGME49_203135	TGME49_203135-t26_1	dynein heavy chain family protein
TGME49_203150	TGME49_203150-t26_1	hypothetical protein
TGME49_203160	TGME49_203160-t26_1	hypothetical protein
TGME49_203170	TGME49_203170-t26_1	OB-fold nucleic acid binding domain-containing protein
TGME49_203175	TGME49_203175-t26_1	hypothetical protein
TGME49_203180	TGME49_203180-t26_1	leucine rich repeat-containing protein
TGME49_203200	TGME49_203200-t26_1	hypothetical protein
TGME49_203220	TGME49_203220-t26_1	DEAD/DEAH box helicase domain-containing protein
TGME49_203230	TGME49_203230-t26_1	hypothetical protein
TGME49_203240	TGME49_203240-t26_1	hypothetical protein
TGME49_203250	TGME49_203250-t26_1	hypothetical protein
TGME49_203260	TGME49_203260-t26_1	hypothetical protein
TGME49_203270	TGME49_203270-t26_1	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP domain-containing protein
TGME49_203280	TGME49_203280-t26_1	hypothetical protein
TGME49_203290	TGME49_203290-t26_1	dense granule protein GRA34
TGME49_203300	TGME49_203300-t26_1	hypothetical protein
TGME49_203310	TGME49_203310-t26_1	dense granule protein GRA7
TGME49_203320	TGME49_203320-t26_1	zinc finger in N-recognin protein
TGME49_203330	TGME49_203330-t26_1	hypothetical protein
TGME49_203340	TGME49_203340-t26_1	metallo-beta-lactamase domain-containing protein
TGME49_203350	TGME49_203350-t26_1	hypothetical protein
TGME49_203358	TGME49_203358-t26_1	hypothetical protein
TGME49_203362	TGME49_203362-t26_1	hypothetical protein
TGME49_203370	TGME49_203370-t26_1	hypothetical protein
TGME49_203375	TGME49_203375-t26_1	cpw-wpc domain-containing protein
TGME49_203380	TGME49_203380-t26_1	DnaJ domain-containing protein
TGME49_203390	TGME49_203390-t26_1	CRAL/TRIO domain-containing protein
TGME49_203400	TGME49_203400-t26_1	hypothetical protein
TGME49_203420	TGME49_203420-t26_1	4'-phosphopantetheinyl transferase domain-containing protein
TGME49_203430	TGME49_203430-t26_1	hypothetical protein
TGME49_203440	TGME49_203440-t26_1	anaphase-promoting complex subunit APC10
TGME49_203450	TGME49_203450-t26_1	brain colonization protein BCP1
TGME49_203460	TGME49_203460-t26_1	hypothetical protein
TGME49_203470	TGME49_203470-t26_1	hypothetical protein
TGME49_203480	TGME49_203480-t26_1	hypothetical protein
TGME49_203490	TGME49_203490-t26_1	GNL3L/Grn1 GTPase
TGME49_203500	TGME49_203500-t26_1	alanine dehydrogenase/pyridine nucleotide transhydrogenase domain-containing protein
TGME49_203505	TGME49_203505-t26_1	hypothetical protein
TGME49_203510	TGME49_203510-t26_1	zinc finger, C3HC4 type (RING finger) domain-containing protein
TGME49_203520	TGME49_203520-t26_1	hypothetical protein
TGME49_203540	TGME49_203540-t26_1	RNA binding protein, putative
TGME49_203560	TGME49_203560-t26_1	hypothetical protein
TGME49_203570	TGME49_203570-t26_1	acyltransferase domain-containing protein
TGME49_203580	TGME49_203580-t26_1	NAD-binding domain 4 domain-containing protein
TGME49_203590	TGME49_203590-t26_1	hypothetical protein
TGME49_203600	TGME49_203600-t26_1	dense granule protein GRA50
TGME49_203610	TGME49_203610-t26_1	3'-5' exoribonuclease csl4, putative
TGME49_203620	TGME49_203620-t26_1	ribosomal protein RPS35
TGME49_203630	TGME49_203630-t26_1	ribosomal protein RPL44
TGME49_203665	TGME49_203665-t26_1	hypothetical protein
TGME49_203682	TGME49_203682-t26_1	hypothetical protein
TGME49_203685	TGME49_203685-t26_1	hypothetical protein
TGME49_203688	TGME49_203688-t26_1	hypothetical protein
TGME49_203690	TGME49_203690-t26_1	AP2 domain transcription factor AP2VIIa-5
TGME49_203700	TGME49_203700-t26_1	SFT2 family protein
TGME49_203705	TGME49_203705-t26_1	hypothetical protein
TGME49_203710	TGME49_203710-t26_1	AP2 domain transcription factor AP2VIIa-4
TGME49_203720	TGME49_203720-t26_1	vitamin k epoxide reductase family protein
TGME49_203730	TGME49_203730-t26_1	hypothetical protein
TGME49_203735	TGME49_203735-t26_1	hypothetical protein
TGME49_203740	TGME49_203740-t26_1	hypothetical protein
TGME49_203750	TGME49_203750-t26_1	hypothetical protein
TGME49_203760	TGME49_203760-t26_1	hypothetical protein
TGME49_203770	TGME49_203770-t26_1	hypothetical protein
TGME49_203780	TGME49_203780-t26_1	hypothetical protein
TGME49_203790	TGME49_203790-t26_1	hypothetical protein
TGME49_203800	TGME49_203800-t26_1	hypothetical protein
TGME49_203810	TGME49_203810-t26_1	kelch repeat-containing protein
TGME49_203815	TGME49_203815-t26_1	hypothetical protein
TGME49_203820	TGME49_203820-t26_1	hypothetical protein
TGME49_203830	TGME49_203830-t26_1	FHA domain-containing protein
TGME49_203840	TGME49_203840-t26_1	DEAD/DEAH box helicase domain-containing protein
TGME49_203860	TGME49_203860-t26_1	hypothetical protein
TGME49_203870	TGME49_203870-t26_1	RAB43, member RAS oncogene family protein
TGME49_203875	TGME49_203875-t26_1	hypothetical protein
TGME49_203880	TGME49_203880-t26_1	hypothetical protein
TGME49_203890	TGME49_203890-t26_1	hypothetical protein
TGME49_203900	TGME49_203900-t26_1	FAM184 domain-containing protein
TGME49_203910	TGME49_203910-t26_1	TBC domain-containing protein TBC10
TGME49_203930	TGME49_203930-t26_1	hypothetical protein
TGME49_203940	TGME49_203940-t26_1	ABC1 protein
TGME49_203950	TGME49_203950-t26_1	Myb family DNA-binding domain-containing protein
TGME49_203960	TGME49_203960-t26_1	hypothetical protein
TGME49_203970	TGME49_203970-t26_1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase
TGME49_203980	TGME49_203980-t26_1	hypothetical protein
TGME49_203985	TGME49_203985-t26_1	hypothetical protein
TGME49_203990	TGME49_203990-t26_1	rhoptry protein ROP12
TGME49_204000	TGME49_204000-t26_1	hypothetical protein
TGME49_204010	TGME49_204010-t26_1	hypothetical protein
TGME49_204020	TGME49_204020-t26_1	ribosomal protein RPL8
TGME49_204040	TGME49_204040-t26_1	hypothetical protein
TGME49_204045	TGME49_204045-t26_1	hypothetical protein
TGME49_204050	TGME49_204050-t26_1	subtilisin SUB1
TGME49_204055	TGME49_204055-t26_1	hypothetical protein
TGME49_204060	TGME49_204060-t26_1	syntaxin-12
TGME49_204070	TGME49_204070-t26_1	YT521-B family protein
TGME49_204080	TGME49_204080-t26_1	histidine acid phosphatase superfamily protein
TGME49_204090	TGME49_204090-t26_1	eIF2 kinase IF2K-C
TGME49_204100	TGME49_204100-t26_1	eIF2 kinase IF2K-C
TGME49_204110	TGME49_204110-t26_1	eIF2 kinase IF2K-C
TGME49_204120	TGME49_204120-t26_1	hypothetical protein
TGME49_204130	TGME49_204130-t26_1	perforin-like protein PLP1
TGME49_204140	TGME49_204140-t26_1	PHD-finger domain-containing protein
TGME49_204150	TGME49_204150-t26_1	hypothetical protein
TGME49_204160	TGME49_204160-t26_1	GYF domain-containing protein
TGME49_204270	TGME49_204270-t26_1	dense granule protein GRA60
TGME49_204280	TGME49_204280-t26_1	cell-cycle-associated protein kinase DYRK1
TGME49_204290	TGME49_204290-t26_1	hypothetical protein
TGME49_204300	TGME49_204300-t26_1	hypothetical protein
TGME49_204310	TGME49_204310-t26_1	hypothetical protein
TGME49_204315	TGME49_204315-t26_1	hypothetical protein
TGME49_204320	TGME49_204320-t26_1	hypothetical protein
TGME49_204325	TGME49_204325-t26_1	hypothetical protein
TGME49_204330	TGME49_204330-t26_1	hypothetical protein
TGME49_204340	TGME49_204340-t26_1	dense granule protein GRA54
TGME49_204350	TGME49_204350-t26_1	hypothetical protein
TGME49_204360	TGME49_204360-t26_1	subtilisin SUB4
TGME49_204370	TGME49_204370-t26_1	mitochondrial pyruvate carrier protein 2
TGME49_204380	TGME49_204380-t26_1	hypothetical protein
TGME49_204390	TGME49_204390-t26_1	hypothetical protein
TGME49_204395	TGME49_204395-t26_1	hypothetical protein
TGME49_204400	TGME49_204400-t26_1	ATPase synthase subunit alpha, putative
TGME49_204410	TGME49_204410-t26_1	endonuclease/exonuclease/phosphatase family protein
TGME49_204420	TGME49_204420-t26_1	oocyst wall protein OWP1
TGME49_204440	TGME49_204440-t26_1	cyclic nucleotide-binding domain-containing protein
TGME49_204460	TGME49_204460-t26_1	hydroxymethylglutaryl-CoA lyase, putative
TGME49_204468	TGME49_204468-t26_1	hypothetical protein
TGME49_204472	TGME49_204472-t26_1	cyclic nucleotide-binding domain-containing protein
TGME49_204480	TGME49_204480-t26_1	thioredoxin domain-containing protein
TGME49_204490	TGME49_204490-t26_1	hypothetical protein
TGME49_204500	TGME49_204500-t26_1	hypothetical protein
TGME49_204505	TGME49_204505-t26_1	hypothetical protein
TGME49_204510	TGME49_204510-t26_1	WD domain, G-beta repeat-containing protein
TGME49_204520	TGME49_204520-t26_1	hypothetical protein
TGME49_204530	TGME49_204530-t26_1	microneme protein MIC11
TGME49_204540	TGME49_204540-t26_1	DUF367 domain-containing protein
TGME49_204550	TGME49_204550-t26_1	hypothetical protein
TGME49_204560	TGME49_204560-t26_1	type I fatty acid synthase, putative
TGME49_204870	TGME49_204870-t26_1	thrombospondin type 1 domain-containing protein
TGME49_204880	TGME49_204880-t26_1	hypothetical protein
TGME49_205000	TGME49_205000-t26_1	phosphoglycerate mutase family protein
TGME49_205010	TGME49_205010-t26_1	U2 small nuclear ribonucleoprotein family protein, putative
TGME49_205020	TGME49_205020-t26_1	hypothetical protein
TGME49_205030	TGME49_205030-t26_1	protein transport protein BET1, putative
TGME49_205040	TGME49_205040-t26_1	PGAP1 family protein
TGME49_205050	TGME49_205050-t26_1	hypothetical protein
TGME49_205060	TGME49_205060-t26_1	hypothetical protein
TGME49_205070	TGME49_205070-t26_1	hypothetical protein
TGME49_205080	TGME49_205080-t26_1	hypothetical protein
TGME49_205090	TGME49_205090-t26_1	Toxoplasma gondii family D protein
TGME49_205100	TGME49_205100-t26_1	hypothetical protein
TGME49_205110	TGME49_205110-t26_1	hypothetical protein
TGME49_205120	TGME49_205120-t26_1	hypothetical protein
TGME49_205130	TGME49_205130-t26_1	guanine-nucleotide exchange factor, putative
TGME49_205140	TGME49_205140-t26_1	hypothetical protein
TGME49_205150	TGME49_205150-t26_1	ACR, YagE family COG1723 domain-containing protein
TGME49_205160	TGME49_205160-t26_1	hypothetical protein
TGME49_205170	TGME49_205170-t26_1	hypothetical protein
TGME49_205180	TGME49_205180-t26_1	RNA recognition motif-containing protein
TGME49_205190	TGME49_205190-t26_1	hypothetical protein
TGME49_205200	TGME49_205200-t26_1	hypothetical protein
TGME49_205210	TGME49_205210-t26_1	hypothetical protein
TGME49_205220	TGME49_205220-t26_1	U5 snRNP-associated subunit, putative
TGME49_205230	TGME49_205230-t26_1	hypothetical protein
TGME49_205240	TGME49_205240-t26_1	cleft lip and palate transmembrane protein 1 (clptm1) protein
TGME49_205250	TGME49_205250-t26_1	rhoptry protein ROP18
TGME49_205265	TGME49_205265-t26_1	transporter, cation channel family protein
TGME49_205280	TGME49_205280-t26_1	hypothetical protein
TGME49_205290	TGME49_205290-t26_1	glucan phosphatase Laforin
TGME49_205300	TGME49_205300-t26_1	hypothetical protein
TGME49_205310	TGME49_205310-t26_1	tRNA-Leu
TGME49_205320	TGME49_205320-t26_1	hypothetical protein
TGME49_205330	TGME49_205330-t26_1	hypothetical protein
TGME49_205340	TGME49_205340-t26_1	ribosomal protein RPS12
TGME49_205350	TGME49_205350-t26_1	integral membrane protein, GNS1/SUR4 family protein, putative
TGME49_205360	TGME49_205360-t26_1	hypothetical protein
TGME49_205370	TGME49_205370-t26_1	hypothetical protein
TGME49_205380	TGME49_205380-t26_1	fructose-1,6-bisphosphatase 1
TGME49_205390	TGME49_205390-t26_1	hypothetical protein
TGME49_205398	TGME49_205398-t26_1	DNA repair and recombination protein RAD54, putative
TGME49_205402	TGME49_205402-t26_1	SNF2 family N-terminal domain-containing protein
TGME49_205410	TGME49_205410-t26_1	RNA pseudouridine synthase superfamily protein
TGME49_205420	TGME49_205420-t26_1	aspartate-semialdehyde dehydrogenase
TGME49_205425	TGME49_205425-t26_1	hypothetical protein
TGME49_205430	TGME49_205430-t26_1	isovaleryl-CoA dehydrogenase
TGME49_205440	TGME49_205440-t26_1	CCT chaperonin gamma subunit
TGME49_205450	TGME49_205450-t26_1	hypothetical protein
TGME49_205460	TGME49_205460-t26_1	AN1 family Zinc finger domain-containing protein
TGME49_205470	TGME49_205470-t26_1	translation elongation factor 2 family protein, putative
TGME49_205480	TGME49_205480-t26_1	IMC subcompartment protein ISP4
TGME49_205490	TGME49_205490-t26_1	integral membrane protein, putative
TGME49_205500	TGME49_205500-t26_1	hypothetical protein
TGME49_205510	TGME49_205510-t26_1	nucleolar protein 5, putative
TGME49_205520	TGME49_205520-t26_1	apicomplexan amino acid transporter ApiAT5-2
TGME49_205530	TGME49_205530-t26_1	hypothetical protein
TGME49_205540	TGME49_205540-t26_1	DEAD/DEAH box helicase domain-containing protein
TGME49_205550	TGME49_205550-t26_1	AGC kinase
TGME49_205558	TGME49_205558-t26_1	NAC domain-containing protein
TGME49_205562	TGME49_205562-t26_1	hypothetical protein
TGME49_205570	TGME49_205570-t26_1	sorting assembly machinery subunit SAM50
TGME49_205580	TGME49_205580-t26_1	nuclear factor NF4
TGME49_205590	TGME49_205590-t26_1	centrosomal protein CEP131
TGME49_205600	TGME49_205600-t26_1	zinc finger, C3HC4 type (RING finger) domain-containing protein
TGME49_205615	TGME49_205615-t26_1	hypothetical protein
TGME49_205625	TGME49_205625-t26_1	hypothetical protein
TGME49_205630	TGME49_205630-t26_1	hypothetical protein
TGME49_205640	TGME49_205640-t26_1	hypothetical protein
TGME49_205650	TGME49_205650-t26_1	AP2 domain transcription factor AP2VIIa-3
TGME49_205658	TGME49_205658-t26_1	F5/8 type C domain-containing protein
TGME49_205662	TGME49_205662-t26_1	LCCL domain-containing protein
TGME49_205670	TGME49_205670-t26_1	striated fiber assemblin SFA2
TGME49_205680	TGME49_205680-t26_1	hypothetical protein
TGME49_205690	TGME49_205690-t26_1	hypothetical protein
TGME49_205700	TGME49_205700-t26_1	cyclophilin precursor
TGME49_205710	TGME49_205710-t26_1	lysine-tRNA ligase
TGME49_205720	TGME49_205720-t26_1	Adenosine/AMP deaminase domain-containing protein
TGME49_205730	TGME49_205730-t26_1	hypothetical protein
